ApplicableInspectionTypes,Make,Name
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,S Q5
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,S7
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,S6
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,TT
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,A3
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,S8
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Audi,Other Audi Models
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",BAIC,A1 Hatchback
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",BAIC,Other BAIC Model
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",BAIC,A1 Sedan
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",BAIC,A5 Sedan
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Bentayga
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Continental GTC
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Continental
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Mulsanne
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Other Bentley Models
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Bentley,Flying Spur
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,1-Series
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,3-Series
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,4-Serie
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,2-Series
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,4-Series Convertible
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,6-Series Cabriolet
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,4-Series Gran
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,5-Series
